Frequency (Hz),Modulus (ohm),Phase (deg)
1.00,159158.08,-89.64
1.26,125832.56,-89.54
1.60,99485.65,-89.42
2.02,78656.17,-89.27
2.56,62188.92,-89.08
3.24,49170.64,-88.83
4.09,38879.34,-88.53
5.18,30744.28,-88.14
6.55,24314.27,-87.64
8.29,19232.72,-87.02
10.48,15217.79,-86.23
13.26,12046.82,-85.24
16.77,9543.94,-83.99
21.21,7570.28,-82.41
26.83,6016.34,-80.43
33.93,4795.80,-77.96
42.92,3840.70,-74.91
54.29,3097.60,-71.17
68.66,2524.37,-66.66
86.85,2087.60,-61.38
109.85,1760.39,-55.39
138.95,1520.52,-48.88
175.75,1349.10,-42.16
222.30,1229.87,-35.60
281.18,1149.08,-29.51
355.65,1095.56,-24.11
449.84,1060.74,-19.48
568.99,1038.38,-15.63
719.69,1024.16,-12.47
910.30,1015.17,-9.92
1151.40,1009.51,-7.87
1456.35,1005.95,-6.24
1842.07,1003.73,-4.94
2329.95,1002.33,-3.91
2947.05,1001.46,-3.09
3727.59,1000.91,-2.44
4714.87,1000.57,-1.93
5963.62,1000.36,-1.53
7543.12,1000.22,-1.21
9540.95,1000.14,-0.96
12067.93,1000.09,-0.76
15264.18,1000.05,-0.60
19306.98,1000.03,-0.47
24420.53,1000.02,-0.37
30888.44,1000.01,-0.30
39069.40,1000.01,-0.23
49417.13,1000.01,-0.18
62505.52,1000.00,-0.15
79060.43,1000.00,-0.12
100000.00,1000.00,-0.09
